2021-06-10 19:18:45,357 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 19:20:42,905 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:20:42,907 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-06-10 19:20:42,910 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:20:42,911 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 19:26:41,522 [Worker-43] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: LPI_Semana11:LPI_Semana11:0.0.1-SNAPSHOT @ D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\pom.xml.
2021-06-10 19:26:44,342 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:26:44,349 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-10 19:26:44,352 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:26:44,354 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 19:27:56,048 [Worker-46] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: LPI_Semana11:LPI_Semana11:0.0.1-SNAPSHOT @ D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\pom.xml.
2021-06-10 19:27:56,679 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:27:56,685 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-10 19:27:56,688 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:27:56,690 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 19:29:21,456 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:29:21,458 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-06-10 19:29:21,471 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:29:21,473 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 19:31:51,421 [Worker-45] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: LPI_Semana11:LPI_Semana11:0.0.1-SNAPSHOT @ D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\pom.xml.
2021-06-10 19:31:52,249 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:31:52,256 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-10 19:31:52,261 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:31:52,264 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 19:38:19,915 [Worker-37] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: LPI_Semana11:LPI_Semana11:0.0.1-SNAPSHOT @ D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\pom.xml.
2021-06-10 19:38:20,589 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:38:20,597 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-10 19:38:20,601 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
